gene	pLI	LOEUF
RGS11	1.0725e-34	1.523
RGS12	2.047e-10	0.696
RGS13	0.1407	0.939
RGS14	7.7187e-06	0.737
RGS16	0.011328	0.991
RGS17	0.74369	0.708
RGS18	0.00094156	1.539
RGS19	0.066608	0.786
RGS2	2.077e-05	1.101
RGS20	1.1076e-11	1.312
RGS21	0.18291	1.862
RGS22	3.435e-26	1.014
RGS4	6.4698e-05	1.2
RGS5	0.00012789	1.603
RGS6	0.011979	0.664
RGS7	0.99504	0.472
RGS7BP	0.83115	0.595
RGS9	4.4956e-14	0.876
RGS9BP	0.00086333	1.896
RGSL1	2.1441e-20	0.878
RHAG	0.0049073	0.728
RHBDD1	4.0295e-12	1.429
RHBDD2	0.0039406	1.125
RHBDD3	2.2887e-17	1.842
RHBDF1	4.855e-23	1.022
RHBDF2	0.15213	0.545
RHBDL1	1.7594e-05	0.935
RHBDL2	1.4832e-05	1.2
RHBDL3	0.001157	0.785
RHBG	1.7995e-12	1.16
RHCE	0.022516	0.688
RHCG	9.009e-10	0.917
RHD	0.027691	0.742
RHEB	0.13148	1.922
RHEBL1	7.2719e-07	1.092
RHEX	9.1142e-07	1.544
RHNO1	0.00019875	1.693
RHO	5.0269e-05	0.91
RHOA	0.9896	0.433
RHOB	0.22627	0.862
RHOBTB1	3.1709e-05	0.68
RHOBTB2	1.8612e-06	0.761
RHOBTB3	0.0025825	0.771
RHOC	0.0013124	1.024
RHOD	0.0051073	1.191
RHOF	7.3857e-10	1.526
RHOG	0.98923	0.367
RHOH	0.2549	0.843
RHOJ	0.047065	0.849
RHOQ	0.97697	0.476
RHOT1	0.42639	0.599
RHOT2	9.1717e-34	1.326
RHOU	0.20765	0.753
RHOV	0.97331	0.497
RHPN1	3.8319e-33	1.605
RHPN2	5.3382e-05	0.685
RIBC2	3.0131e-13	1.24
RIC1	2.7467e-05	0.577
RIC3	6.2031e-07	1.217
RIC8A	2.7963e-10	1.006
RIC8B	0.99919	0.426
RICTOR	1.0	0.305
RIDA	0.03229	1.442
RIF1	1.0	0.254
RIIAD1	0.012807	1.96
RILP	6.599100000000001e-27	1.976
RILPL1	1.0089e-07	0.948
RILPL2	4.937e-07	1.507
RIMBP2	0.00072742	0.591
RIMBP3	1.0	0.161
RIMKLA	0.13918	0.759
RIMKLB	0.99305	0.445
RIMS1	0.94533	0.496
RIMS3	0.025408	0.746
RIMS4	0.98738	0.481
RIN1	1.395e-16	1.22
RIN2	0.0013497	0.637
RIN3	1.615e-10	0.863
RING1	0.99902	0.413
RINL	1.2544e-09	0.948
RINT1	3.8414e-15	0.931
RIOK1	3.6935e-12	1.162
RIOK2	2.6993e-08	1.009
RIOK3	0.00017094	0.906
RIOX1	8.4056e-10	1.078
RIOX2	2.7061e-08	0.978
RIPK1	0.21054	0.6
RIPK2	0.95415	0.532
RIPK3	2.8615e-17	1.218
RIPK4	0.62495	0.577
RIPOR1	2.8925e-06	0.609
RIPOR2	0.94064	0.502
RIPOR3	8.0338e-27	1.015
RIPPLY2	8.7072e-06	1.76
RIPPLY3	0.0016446	1.609
RIT1	0.96123	0.523
RIT2	8.6808e-07	1.684
RITA1	8.2231e-09	1.93
RLBP1	1.0689e-06	0.954
RLF	1.0	0.087
RLN1	0.087815	1.622
RLN2	0.010721	1.784
RLN3	2.648e-06	1.794
RMC1	0.053213	0.571
RMDN1	2.5646e-05	1.221
RMDN2	2.7469e-07	1.585
RMDN3	1.3555e-07	0.802
RMI1	6.7137e-10	0.997
RMI2	2.8964e-06	1.944
RMND1	0.017418	0.851
RMND5A	0.54633	0.613
RMND5B	2.5253e-11	1.021
RNASE1	0.14061	1.913
RNASE2	0.29357	1.891
RNASE3	0.11027	1.939
RNASE4	0.16228	1.889
RNASE6	0.13662	1.917
RNASE7	0.30287	1.883
RNASE8	0.36196	1.808
RNASEH1	5.0476e-06	1.163
RNASEH2A	1.502e-09	1.164
RNASEH2B	0.00078377	1.401
RNASEH2C	1.0517e-08	1.755
RNASEK	0.038565	1.194
RNASEL	2.145e-06	0.83
RNASET2	0.0020594	1.224
RND1	0.92268	0.561
RND2	0.0027424	0.956
RND3	0.95082	0.533
RNF10	0.75885	0.519
RNF103	0.99663	0.469
RNF11	0.94383	0.537
RNF111	1.0	0.328
RNF112	6.1708e-06	0.743
RNF113B	0.010179	0.893
RNF114	0.99019	0.43
RNF115	5.989e-05	1.209
RNF121	0.28906	0.644
RNF122	0.0042859	0.969
RNF123	3.3953e-10	0.604
RNF125	0.19503	1.071
RNF126	0.00011003	1.074
RNF13	0.58532	0.813
RNF130	0.030817	0.757
RNF133	0.35044	1.826
RNF135	2.3836e-18	1.491
RNF138	0.5688	0.901
RNF139	0.98574	0.493
RNF14	0.011986	0.646
RNF141	0.0017407	1.144
RNF144A	0.91118	0.55
RNF144B	6.5795e-05	1.009
RNF145	0.99989	0.357
RNF146	0.78946	0.593
RNF148	5.5122e-05	1.14
RNF149	0.09908	0.734
RNF150	1.4414e-05	0.983
RNF151	0.0001318	1.596
RNF152	0.00049534	1.339
RNF157	1.9761e-08	0.84
RNF165	0.98273	0.499
RNF166	1.2468e-06	1.299
RNF167	0.00049429	0.781
RNF168	6.2462e-14	1.406
RNF169	0.00021108	0.777
RNF17	1.0	0.228
RNF170	0.74312	0.664
RNF175	4.6714e-05	0.988
RNF180	2.1736e-06	0.92
RNF181	1.4745e-09	1.462
RNF182	6.7247e-06	1.508
RNF183	0.020339	1.189
RNF185	0.043356	1.049
RNF186	0.084732	1.873
RNF187	7.3761e-08	1.757
RNF19A	0.55482	0.541
RNF19B	0.98873	0.489
RNF2	0.99993	0.321
RNF20	1.5058e-17	0.84
RNF207	3.676e-24	1.277
RNF208	0.037787	1.072
RNF212	0.0004721	1.348
RNF212B	0.010423	1.0
RNF213	3.0859e-62	0.692
RNF214	0.99935	0.438
RNF215	1.8569e-13	1.263
RNF216	8.6887e-14	0.819
RNF217	1.8718e-05	0.793
RNF220	1.0	0.174
RNF222	1.0196e-07	1.909
RNF223	0.00011141	1.799
RNF224	0.24176	1.758
RNF225	0.20277	1.831
RNF24	0.0042843	1.222
RNF25	0.00032303	0.68
RNF26	0.82269	0.598
RNF31	1.0	0.37
RNF32	8.8628e-11	1.195
RNF34	0.99053	0.478
RNF38	0.99997	0.381
RNF39	6.5918e-10	1.828
RNF4	0.87638	0.584
RNF40	1.0	0.405
RNF41	0.99995	0.295
RNF43	0.00065215	0.632
RNF44	0.00011855	0.798
RNF5	0.00022249	1.013
RNF6	0.079065	0.603
RNF7	0.20979	0.945
RNF8	1.0	0.222
RNFT1	6.2717e-05	0.898
RNFT2	4.8083e-12	1.265
RNGTT	0.80454	0.562
RNH1	1.4828e-12	1.169
RNLS	3.3878e-10	1.206
RNMT	0.00076786	0.92
RNPC3	0.0073898	1.041
RNPEP	4.8388e-10	0.96
RNPEPL1	1.9284e-11	0.904
RNPS1	1.0	0.107
RO60	0.95018	0.519
ROBO1	3.4299e-31	0.856
ROBO3	2.7799e-19	0.749
ROBO4	4.498899999999999e-21	0.913
ROCK1	1.0	0.293
ROCK2	1.0	0.346
ROGDI	1.2141000000000001e-19	1.648
ROM1	2.0036e-05	1.003
ROMO1	0.00095183	1.738
ROPN1	6.5744e-05	1.292
ROPN1B	0.004218	1.034
ROPN1L	9.5274e-08	1.396
ROR1	1.0	0.326
ROR2	0.3497	0.543
RORA	1.0	0.207
RORB	1.0	0.257
RORC	1.0	0.351
ROS1	3.942099999999999e-52	0.993
RP1	7.8806e-07	1.447
RP1L1	3.1979e-13	1.944
RP9	1.5961e-05	1.193
RPA1	6.0136e-10	0.818
RPA2	3.6538e-05	1.005
RPA3	8.6429e-06	1.968
RPAIN	2.0727e-09	1.359
RPAP1	5.6421e-27	0.877
RPAP2	3.1612e-08	1.212
RPAP3	7.2152e-07	1.144
RPE	0.00030082	0.989
RPE65	2.7238e-16	0.998
RPEL1	0.07403	0.964
RPF1	5.0356e-05	1.456
RPF2	0.10806	0.813
RPGRIP1	1.2162000000000001e-20	0.918
RPGRIP1L	4.2917e-23	0.907
RPH3A	1.9539e-05	0.639
RPH3AL	1.3228e-12	1.209
RPIA	3.0875e-07	1.019
RPL10A	0.17288	0.72
RPL10L	0.0001991	1.361
RPL11	0.99902	0.342
RPL12	0.071984	0.812
RPL13	0.99947	0.25
RPL13A	0.99992	0.303
RPL14	0.9992	0.359
RPL15	0.99997	0.132
RPL17	0.99998	0.184
RPL18	0.99901	0.365
RPL18A	0.99994	0.144
RPL19	0.99866	0.277
RPL22	0.84569	0.645
RPL22L1	0.00028397	1.797
RPL23	0.99962	0.174
RPL23A	0.99636	0.359
RPL24	0.89431	0.585
RPL26	0.99381	0.258
RPL26L1	0.023047	1.054
RPL27	0.99376	0.259
RPL27A	0.99975	0.166
RPL28	0.67977	0.717
RPL29	0.033962	1.426
RPL3	1.0	0.165
RPL30	0.99758	0.222
RPL31	0.99795	0.217
RPL32	0.99573	0.243
RPL34	0.7891	0.716
RPL35	0.99253	0.391
RPL35A	0.99874	0.202
RPL36	0.93829	0.433
RPL36AL	0.0012625	1.674
RPL37	0.98471	0.389
RPL37A	0.30539	0.868
RPL38	0.97501	0.461
RPL39L	0.12977	1.442
RPL3L	6.7481e-16	1.321
RPL4	1.0	0.184
RPL41	0.1784	1.293
RPL5	1.0	0.096
RPL6	0.99999	0.176
RPL7	0.99998	0.131
RPL7A	1.0	0.083
RPL7L1	0.010863	1.074
RPL8	0.99996	0.137
RPL9	0.99998	0.131
RPLP0	1.0	0.098
RPLP1	0.24731	1.003
RPLP2	0.97388	0.427
RPN1	1.0	0.302
RPN2	0.50938	0.546
RPP14	7.6336e-07	1.569
RPP21	3.9321e-09	1.646
RPP25	0.0024635	1.722
RPP25L	0.16147	1.001
RPP30	0.00018884	1.37
RPP38	0.032375	1.896
RPP40	1.2088e-05	1.089
RPRD1A	0.99647	0.44
RPRD1B	0.99983	0.376
RPRD2	1.0	0.145
RPRM	0.11918	1.482
RPRML	0.020675	1.828
RPS10	0.99983	0.265
RPS11	0.99993	0.145
RPS12	0.96725	0.364
RPS13	0.99629	0.237
RPS14	0.99715	0.304
RPS15	0.1769	0.981
RPS15A	0.68289	0.948
RPS16	0.99895	0.314
RPS17	0.99969	0.17
RPS18	0.99843	0.209
RPS19	0.99966	0.239
RPS19BP1	8.0069e-05	1.266
RPS2	0.97864	0.493
RPS20	0.9668	0.481
RPS21	0.17885	0.899
RPS23	0.9994	0.184
RPS24	0.99945	0.182
RPS25	0.98576	0.384
RPS26	0.99588	0.32
RPS27	0.93176	0.52
RPS27A	0.98731	0.377
RPS27L	0.089033	1.863
RPS28	0.56144	0.908
RPS29	0.98428	0.308
RPS3	0.99994	0.205
RPS3A	0.99803	0.291
RPS5	0.99898	0.313
RPS6	1.0	0.166
RPS6KA1	3.5e-07	0.694
RPS6KA2	0.0093152	0.624
RPS6KA4	0.00045754	0.627
RPS6KA5	0.99057	0.486
RPS6KB1	0.99926	0.387
RPS6KB2	2.2777e-15	1.101
RPS6KC1	0.00021123	0.681
RPS6KL1	4.1522e-11	0.978
RPS7	0.99613	0.317
RPS8	1.0	0.104
RPS9	0.99912	0.265
RPSA	0.99994	0.144
RPSAP58	0.0077545	1.644
RPTN	0.0094882	1.811
RPTOR	1.0	0.205
RPUSD1	7.9311e-13	1.859
RPUSD2	8.6639e-08	1.053
RPUSD4	2.5566e-12	1.299
RRAD	0.00013007	1.124
RRAGA	0.034085	0.837
RRAGC	0.94153	0.545
RRAGD	0.55965	0.63
RRAS	0.00016583	1.175
RRAS2	0.031055	1.246
RRBP1	2.1791e-16	0.704
RREB1	1.0	0.366
RRH	6.2753e-11	1.364
RRM1	1.0	0.242
RRM2	0.99999	0.292
RRM2B	0.27091	0.688
RRN3	3.1226e-05	0.749
RRP1	5.5683e-09	0.897
RRP12	8.9809e-05	0.561
RRP15	0.0029375	0.95
RRP1B	7.149e-13	0.963
RRP36	5.1852e-15	1.393
RRP7A	1.8232e-09	1.305
RRP8	6.6251e-18	1.363
RRP9	2.5407e-05	0.701
RRS1	0.1892	0.713
RSAD1	4.8361e-11	1.05
RSAD2	2.4906e-12	1.301
RSBN1	0.96332	0.507
RSBN1L	0.66289	0.56
RSC1A1	0.0069277	1.445
RSF1	1.0	0.147
RSKR	1.6011e-11	0.946
RSL1D1	2.3145e-09	1.063
RSL24D1	0.91599	0.546
RSPH1	0.0046663	0.81
RSPH14	4.7319e-08	1.305
RSPH3	0.018895	0.784
RSPH4A	4.7138e-08	0.816
RSPH6A	4.5102e-13	0.906
RSPH9	1.5639e-09	1.316
RSPO1	1.9361e-05	1.005
RSPO2	0.2904	0.668
RSPO3	0.01507	0.751
RSPO4	1.6255e-08	1.327
RSPRY1	0.99768	0.445
RSRC1	3.7132e-07	1.263
RSRC2	1.0	0.135
RSRP1	1.0907e-11	1.423
RSU1	0.0006121	1.037
RTBDN	5.5316e-09	1.608
RTCA	2.0716e-09	1.19
RTCB	0.16535	0.622
RTEL1	1.271e-13	0.661
RTF1	1.0	0.223
RTF2	0.0050684	0.806
RTKN	7.9349e-13	0.941
RTKN2	1.9468e-13	1.447
RTL1	0.31636	1.869
RTL6	0.0048462	1.2
RTN1	0.034863	0.621
RTN2	4.9773e-06	0.748
RTN3	2.6365e-06	0.712
RTN4	0.38154	0.546
RTN4IP1	1.7126e-07	0.952
RTN4R	0.99969	0.311
RTN4RL1	0.76771	0.626
RTN4RL2	0.20296	0.755
RTP1	6.6137e-09	1.406
RTP3	0.4811	0.997
RTP4	0.23412	1.173
RTP5	2.3832e-13	1.796
RTRAF	0.70879	0.645
RTTN	5.4931e-22	0.786
RUBCN	2.3557e-13	0.769
RUBCNL	1.5757e-16	1.216
RUFY1	5.2645e-08	0.813
RUFY2	3.112e-05	0.777
RUFY3	0.0048624	0.689
RUNDC1	1.6173e-07	0.904
RUNDC3A	7.8319e-07	0.912
RUNDC3B	0.23983	0.697
RUNX1	0.29231	0.633
RUNX2	0.99998	0.352
RUNX3	0.3739	0.698
RUSC1	1.3701e-06	0.716
RUSC2	1.0	0.383
RUSF1	1.8466e-20	1.261
RUVBL1	1.0	0.169
RUVBL2	1.0	0.248
RWDD1	0.82284	0.653
RWDD2A	0.00030054	0.989
RWDD2B	4.2838e-13	1.456
RWDD3	9.4526e-08	1.605
RWDD4	0.00018637	1.253
RXFP1	5.2854e-09	0.966
RXFP2	1.4348e-10	1.095
RXFP3	2.2592e-12	1.537
RXFP4	0.29411	1.891
RXRA	1.0	0.266
RXRB	0.96702	0.513
RXRG	0.87185	0.542
RXYLT1	2.146e-12	1.09
RYK	0.9948	0.457
RYR1	2.293e-56	0.644
RYR2	1.0	0.424
RYR3	1.0	0.43
S100A1	0.39562	0.963
S100A10	0.53915	1.081
S100A11	0.29075	1.083
S100A12	0.0092807	1.815
S100A13	0.020548	1.355
S100A14	0.083406	1.032
S100A16	0.0025739	1.495
S100A2	0.0041381	1.801
S100A3	9.8798e-06	1.741
S100A4	0.16079	1.13
S100A5	0.034467	1.421
S100A6	0.012439	1.747
S100A7	0.15231	1.684
S100A7A	0.010796	1.782
S100A8	0.039696	1.639
S100A9	0.22271	1.47
S100B	0.05823	1.494
S100P	0.0007414	1.91
S100PBP	0.96009	0.526
S100Z	0.04022	1.862
S1PR1	0.99867	0.322
S1PR2	0.055878	0.834
S1PR3	0.00016862	1.267
S1PR4	0.15822	1.894
SAA1	0.02592	1.293
SAA2	0.018245	1.212
SAA4	0.0084356	1.394
SAAL1	5.8089e-09	1.172
SAC3D1	2.1405e-05	1.945
SACM1L	0.97168	0.512
SACS	1.0713000000000001e-30	0.644
SAE1	0.98366	0.49
SAFB	1.0	0.219
SAFB2	0.98642	0.487
SAG	1.2268e-05	0.923
SALL1	1.0	0.228
SALL2	3.4625e-05	0.723
SALL3	0.00041563	0.754
SALL4	1.0	0.184
SAMD10	4.1348e-05	1.169
SAMD11	4.0957e-33	1.764
SAMD12	0.010587	1.077
SAMD13	0.33155	1.031
SAMD14	4.8337e-06	0.861
SAMD15	2.8545e-08	0.924
SAMD3	5.4119e-13	1.292
SAMD4A	5.1766e-05	0.713
SAMD4B	1.0	0.142
SAMD5	0.00085692	1.76
SAMD7	1.9376e-06	1.183
SAMD8	0.023582	0.714
SAMD9	0.026071	1.773
SAMD9L	1.1462e-16	0.876
SAMHD1	2.4032e-07	0.889
SAMM50	3.0153e-05	0.878
SAMSN1	1.0946e-06	1.113
SANBR	2.0013e-06	0.987
SAP130	1.0	0.243
SAP25	8.4247e-08	1.326
SAP30	0.015804	1.431
SAP30BP	1.8612e-05	1.11
SAP30L	0.10098	0.819
SAPCD2	7.7799e-16	1.885
SAR1A	0.99566	0.243
SAR1B	0.00031009	1.105
SARAF	0.00010245	0.847
SARDH	7.3262e-29	1.088
SARM1	2.2792e-23	1.413
SARNP	0.91775	0.475
SARS1	0.41084	0.57
SARS2	9.4058e-16	1.02
SART1	1.0	0.39
SART3	0.99999	0.419
SASH1	0.99999	0.412
SASS6	0.070805	1.202
SAT2	1.4741e-05	1.073
SATB1	1.0	0.209
SATB2	1.0	0.077
SAV1	0.0026715	0.707
SAXO1	7.3286e-08	1.523
SAXO2	3.2797e-07	1.449
SAYSD1	7.5955e-08	1.633
SBDS	1.3519e-05	1.08
SBF1	1.0	0.381
SBF2	5.3214e-09	0.591
SBK1	0.0017882	1.14
SBK2	6.7316e-08	1.768
SBK3	1.1723e-07	1.901
SBNO1	1.0	0.182
SBNO2	2.8779e-26	1.017
SBSN	1.0902e-09	1.065
SBSPON	7.1874e-05	1.188
SC5D	5.8326e-06	1.303
SCAF1	0.39674	0.553
SCAF11	1.0	0.412
SCAF4	1.0	0.285
SCAF8	1.0	0.28
SCAI	0.45466	0.697
SCAMP1	0.32147	0.858
SCAMP2	0.00024277	0.81
SCAMP3	4.9781e-07	0.883
SCAMP4	6.0349e-05	0.933
SCAMP5	0.98907	0.471
SCAND1	0.0010756	1.946
SCAP	8.9919e-10	0.669
SCAPER	2.1156e-11	0.666
SCARA3	1.4676e-11	1.133
SCARA5	1.264e-14	1.394
SCARB1	0.00021071	0.71
SCARB2	0.0028612	0.683
SCARF1	3.4458e-15	1.043
SCARF2	2.8576e-11	0.992
SCCPDH	0.00031604	1.287
SCD	1.0	0.242
SCD5	9.457e-05	0.907
SCEL	5.1027e-07	1.502
SCFD1	0.23234	0.809
SCFD2	8.6846e-17	1.182
SCG2	0.034647	0.636
SCG3	0.00031419	0.844
SCG5	0.0001161	1.218
SCGB1A1	0.00036334	1.752
SCGB1C1	0.44701	1.265
SCGB1C2	0.027852	1.913
SCGB1D1	2.5272e-05	1.869
SCGB1D2	0.00018771	1.705
SCGB1D4	0.038996	1.38
SCGB2A1	0.010428	1.556
SCGB2A2	8.0551e-05	1.845
SCGB2B2	1.5927e-06	1.926
SCGB3A1	0.00087174	1.895
SCGB3A2	0.2054	1.23
SCGN	3.2123e-06	1.375
SCHIP1	0.12962	0.638
SCIMP	0.00017044	1.266
SCIN	4.735299999999999e-22	1.162
SCLT1	0.0024516	1.099
SCLY	1.9781e-07	1.044
SCML4	6.2985e-10	1.059
SCN10A	7.6186e-48	1.058
SCN11A	3.9782e-18	0.834
SCN1A	1.0	0.098
SCN1B	0.19763	0.71
SCN2A	1.0	0.161
SCN2B	0.00020525	1.15
SCN3A	1.0	0.348
SCN3B	0.31566	0.677
SCN4A	2.0645e-10	0.628
SCN4B	1.0751e-05	1.324
SCN5A	1.0	0.372
SCN7A	1.2949e-30	1.124
SCN8A	1.0	0.189
SCN9A	8.0099e-23	0.855
SCNM1	1.8424e-06	0.992
SCNN1A	5.1789e-18	1.105
SCNN1B	1.4648e-09	0.81
SCNN1D	5.5914e-38	1.483
SCNN1G	0.81009	0.531
SCO1	1.393e-05	1.207
SCO2	0.011755	1.761
SCOC	0.11678	1.791
SCP2	8.1505e-06	0.944
SCP2D1	0.0028303	1.471
SCPEP1	1.3353e-11	1.074
SCRG1	0.20974	1.22
SCRIB	8.3323e-12	0.684
SCRN1	0.15559	0.624
SCRN2	4.2372e-09	1.003
SCRN3	8.332e-08	1.196
SCRT1	0.052918	1.801
SCRT2	0.044737	1.945
SCT	2.1981e-09	1.977
SCTR	1.3105e-17	1.373
SCUBE1	7.6341e-08	0.649
SCUBE2	7.203200000000001e-29	1.001
SCUBE3	1.0	0.402
SCX	0.00045907	1.94
SCYL1	2.4204e-28	1.158
SCYL2	0.98694	0.491
SCYL3	0.0018893	0.666
SDAD1	7.1801e-12	0.932
SDC1	0.0042022	0.879
SDC2	0.0014725	1.167
SDC3	0.26935	0.729
SDC4	8.1329e-06	1.265
SDCBP	0.062064	1.09
SDCBP2	7.445e-09	1.323
SDCCAG8	4.0107e-13	0.843
SDE2	2.2246e-05	0.996
SDF2	0.0089288	0.904
SDF2L1	3.0716e-08	1.849
SDF4	0.00029865	0.875
SDHA	3.3694e-08	0.786
SDHAF2	1.4249e-08	1.608
SDHAF3	1.0373e-08	1.854
SDHAF4	0.000296	1.79
SDHB	0.027807	0.741
SDHC	0.048191	0.892
SDHD	0.90513	0.581
SDK1	3.1966000000000005e-30	0.769
SDK2	2.9088e-08	0.554
SDR16C5	0.0011791	1.199
SDR39U1	8.4334e-10	1.247
SDR42E1	1.6478e-05	1.805
SDR9C7	0.0071304	0.844
SDS	8.9783e-06	0.974
SDSL	4.0004e-09	1.248
SEBOX	8.351e-06	1.767
SEC11A	0.090396	0.935
SEC11C	0.28239	0.884
SEC13	0.00042011	0.739
SEC14L1	1.3874e-07	0.726
SEC14L2	6.5367e-15	1.067
SEC14L3	3.7285e-18	1.23
SEC14L4	7.6715e-10	0.992
SEC14L5	2.2946e-39	1.489
SEC14L6	9.597e-11	1.05
SEC16A	1.614e-14	0.621
SEC16B	1.7135000000000002e-33	1.127
SEC22A	0.32683	0.735
SEC22B	0.047343	1.829
SEC22C	1.3391e-06	1.098
SEC23A	1.8029e-05	0.708
SEC23B	1.5717e-18	1.008
SEC23IP	4.3493e-13	0.865
SEC24A	4.2067e-11	0.883
SEC24B	0.99965	0.442
SEC24C	1.0	0.275
SEC24D	1.4974e-09	0.766
SEC31A	0.023119	0.542
SEC31B	5.1784e-31	0.947
SEC61A1	0.99986	0.404
SEC61A2	0.055692	0.657
SEC61B	0.037822	1.39
SEC61G	0.30387	1.615
SEC62	0.99909	0.392
SEC63	0.90762	0.532
SECISBP2	6.2825e-32	1.198
SECISBP2L	0.98207	0.483
SECTM1	0.017802	0.89
SEH1L	0.25921	0.629
SEL1L	0.14416	0.541
SEL1L2	1.5187e-10	0.979
SEL1L3	3.1647e-08	0.67
SELE	9.9087e-12	0.86
SELENBP1	1.014e-27	1.399
SELENOF	0.0013844	1.293
SELENOH	0.00015704	1.878
SELENOI	0.0018885	0.832
SELENOK	0.4144	1.339
SELENOM	4.897e-08	1.571
SELENON	2.6707e-12	1.005
SELENOO	5.4477e-33	1.709
SELENOP	2.6286e-05	1.218
SELENOS	2.9322e-16	1.748
SELENOT	0.20769	0.947
SELENOW	1.0567e-08	1.755
SELL	1.5412e-10	1.165
SELP	4.8545e-21	0.972
SELPLG	0.0076375	1.943
SEM1	0.77018	0.754
SEMA3A	0.99879	0.453
SEMA3B	7.1295e-24	1.219
SEMA3C	1.8965e-05	0.738
SEMA3D	4.5468e-10	1.074
SEMA3E	2.7748e-06	0.668
SEMA3F	0.99999	0.416
SEMA3G	5.2781e-20	1.007
SEMA4A	1.9068e-12	0.858
SEMA4B	3.5565e-13	0.883
SEMA4C	1.0	0.305
SEMA4D	0.99876	0.454
SEMA4F	4.8464e-11	0.825
SEMA5A	0.85824	0.495
SEMA5B	2.4553e-08	0.645
SEMA6A	1.0	0.337
SEMA6B	2.516e-10	0.825
SEMA6C	8.024e-05	0.656
SEMA6D	1.0	0.396
SEMA7A	0.99937	0.447
SEMG1	0.029453	1.26
SEMG2	0.44717	0.917
SENP1	0.99958	0.426
SENP2	1.0	0.254
SENP3	1.0	0.282
SENP5	0.99785	0.458
SENP6	1.0	0.322
SENP7	0.96936	0.503
SENP8	0.012692	1.052
SEPHS1	0.99998	0.254
SEPHS2	0.006327	0.888
SEPSECS	2.4531e-09	1.096
SEPTIN1	9.6149e-17	1.329
SEPTIN10	3.1573e-18	1.434
SEPTIN11	0.017516	0.654
SEPTIN12	6.1371e-16	1.563
SEPTIN14	0.0040699	1.804
SEPTIN2	1.6175e-07	0.985
SEPTIN3	0.71138	0.588
SEPTIN4	3.7522e-05	0.602
SEPTIN5	0.9886	0.489
SEPTIN7	0.99646	0.313
SEPTIN8	0.29332	0.59
SEPTIN9	0.99992	0.39
SERAC1	0.00021364	0.681
SERBP1	1.0	0.256
SERF2	0.66994	0.805
SERGEF	4.5079e-09	1.101
SERHL2	7.1789e-11	1.905
SERINC1	0.15369	0.676
SERINC2	1.9548e-18	1.278
SERINC3	0.11763	0.633
SERINC4	2.9636e-17	1.306
SERINC5	2.4709e-07	0.911
SERP1	0.029161	1.477
SERP2	0.098739	1.84
SERPINA1	8.2861e-07	1.134
SERPINA10	9.9597e-08	1.131
SERPINA11	9.4636e-10	1.239
SERPINA12	2.1885e-06	1.114
SERPINA3	1.1507e-12	1.516
SERPINA4	3.4582e-08	1.265
SERPINA5	7.7437e-09	1.32
SERPINA6	1.8469e-05	1.008
SERPINA9	9.0077e-15	1.728
SERPINB1	1.1997e-07	1.294
SERPINB10	1.4713e-06	1.045
SERPINB11	4.9825e-06	1.235
SERPINB12	5.2273e-23	1.786
SERPINB13	1.5825e-06	1.139
SERPINB2	9.5489e-07	1.03
SERPINB3	4.1607e-09	1.371
SERPINB4	1.7257e-14	1.539
SERPINB5	1.7249e-07	1.143
SERPINB6	0.0033013	0.897
SERPINB7	0.0010283	1.049
SERPINB8	5.9764e-07	1.106
SERPINB9	2.8756e-06	1.149
SERPINC1	0.99866	0.44
SERPIND1	1.996e-11	1.233
SERPINE1	0.03467	0.685
SERPINE2	0.45791	0.648
SERPINE3	2.9447e-12	1.45
SERPINF1	1.9188e-08	1.06
SERPINF2	0.93446	0.53
SERPING1	0.99999	0.278
SERPINH1	3.2767e-05	0.971
SERPINI1	0.99206	0.459
SERTAD1	0.17678	0.981
SERTAD2	0.98686	0.421
SERTAD3	0.046839	1.15
SERTAD4	0.0015603	0.874
SERTM1	0.68698	0.853
SESN1	0.0018011	0.707
SESN2	1.4661e-09	0.992
SESN3	0.99791	0.425
SESTD1	0.13513	0.56
SET	0.99973	0.167
SETBP1	1.0	0.143
SETD1A	1.0	0.279
SETD1B	1.0	0.109
SETD2	1.0	0.176
SETD3	0.99372	0.478
SETD4	2.6909e-11	0.994
SETD5	1.0	0.376
SETD6	4.712e-29	1.641
SETD7	0.64817	0.605
SETD9	2.6473e-10	1.455
SETDB1	1.0	0.29
SETDB2	1.0656e-08	0.858
SETMAR	4.2385e-11	1.001
SETX	0.99995	0.442
SEZ6	7.2417e-09	0.708
SEZ6L	0.99958	0.45
SEZ6L2	0.0014526	0.586
SF1	1.0	0.22
SF3A1	1.0	0.227
SF3A2	0.99993	0.302
SF3A3	1.0	0.26
SF3B1	1.0	0.1
SF3B2	1.0	0.252
SF3B3	1.0	0.285
SF3B4	0.99997	0.259
SF3B5	0.34258	1.019
SF3B6	0.91609	0.566
SFI1	9.4736e-56	1.072
SFMBT1	1.0	0.402
SFMBT2	0.99988	0.437
SFN	0.965	0.517
SFPQ	1.0	0.284
SFR1	1.1557e-08	1.356
SFRP1	0.48038	0.672
SFRP2	0.0067216	0.884
SFRP4	0.00041757	0.857
SFRP5	3.0152e-07	1.214
SFSWAP	1.0	0.24
SFT2D1	1.1675e-06	1.509
SFT2D2	2.5873e-06	1.158
SFT2D3	0.29275	1.892
SFTA2	0.26969	1.114
SFTPA1	0.00068885	1.026
